Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-08-21,CUMMINSIND,EQ,1143.9,1149.0,1164.8,1103.25,1132.0,1141.9,1139.99,201911,23017566145000.0,18169,112587,0.5576
2015-08-24,CUMMINSIND,EQ,1141.9,1121.9,1121.9,1025.0,1050.35,1041.6,1079.44,231069,24942534775000.0,11672,166952,0.7225
2015-08-25,CUMMINSIND,EQ,1041.6,1051.0,1168.55,1005.0,1122.9,1115.1,1084.6,360739,39125750310000.0,28368,234547,0.6502
2015-08-26,CUMMINSIND,EQ,1115.1,1149.0,1149.0,1081.25,1086.0,1101.0,1100.74,206492,22729409715000.0,10823,118046,0.5717
2015-08-27,CUMMINSIND,EQ,1101.0,1122.0,1129.7,1075.0,1081.0,1080.45,1094.4,190109,20805603840000.0,11248,145642,0.7661
2015-08-28,CUMMINSIND,EQ,1080.45,1080.45,1122.0,1080.45,1104.0,1110.85,1102.56,354126,39044369775000.0,15411,284772,0.8042
2015-08-31,CUMMINSIND,EQ,1110.85,1108.25,1125.0,1083.6,1087.0,1099.0,1106.67,134211,14852793430000.002,11289,88121,0.6566
2015-09-01,CUMMINSIND,EQ,1099.0,1075.0,1104.9,1036.85,1060.1,1071.85,1072.63,168430,18066362165000.0,15792,115315,0.6846
2015-09-02,CUMMINSIND,EQ,1071.85,1072.7,1088.0,1058.0,1065.0,1065.95,1071.45,106825,11445714960000.0,10374,75728,0.7089
2015-09-03,CUMMINSIND,EQ,1065.95,1068.8,1103.5,1065.05,1073.0,1070.0,1080.05,250846,27092620295000.0,15475,195281,0.7785
2015-09-04,CUMMINSIND,EQ,1070.0,1075.95,1090.0,1057.05,1077.0,1079.45,1070.24,160207,17146069230000.002,9968,124349,0.7762000000000001
2015-09-07,CUMMINSIND,EQ,1079.45,1080.0,1085.0,1032.35,1056.0,1061.0,1059.17,102279,10833081815000.0,10410,72230,0.7062
2015-09-08,CUMMINSIND,EQ,1061.0,1058.0,1084.0,1039.45,1055.0,1055.45,1059.55,138860,14712858410000.0,7585,100655,0.7249
2015-09-09,CUMMINSIND,EQ,1055.45,1069.8,1125.0,1066.0,1113.55,1117.6,1103.96,149481,16502102010000.0,12147,80467,0.5383
2015-09-10,CUMMINSIND,EQ,1117.6,1105.0,1122.0,1077.7,1109.0,1110.25,1111.29,200374,22267345290000.0,6735,146468,0.731
2015-09-11,CUMMINSIND,EQ,1110.25,1118.85,1118.85,1090.5,1103.0,1108.85,1104.95,141744,15662003000000.0,6562,86113,0.6075
2015-09-14,CUMMINSIND,EQ,1108.85,1117.0,1125.0,1098.1,1107.4,1108.35,1111.76,224167,24922044385000.0,6940,188840,0.8423999999999999
2015-09-15,CUMMINSIND,EQ,1108.35,1116.8,1116.8,1091.0,1092.9,1097.95,1100.26,77418,8517987265000.001,5874,54791,0.7077
2015-09-16,CUMMINSIND,EQ,1097.95,1099.85,1099.85,1076.0,1076.0,1089.45,1089.12,205006,22327607185000.0,4728,180547,0.8806999999999999
2015-09-18,CUMMINSIND,EQ,1089.45,1092.0,1159.5,1081.3,1088.95,1116.55,1132.32,440382,49865449195000.0,27643,290429,0.6595000000000001
2015-09-21,CUMMINSIND,EQ,1116.55,1085.0,1127.8,1085.0,1118.5,1118.55,1115.17,127853,14257827769999.998,7796,90080,0.7046
2015-09-22,CUMMINSIND,EQ,1118.55,1133.8,1133.8,1085.0,1103.9,1102.65,1104.32,89331,9864981990000.0,7162,57385,0.6424
2015-09-23,CUMMINSIND,EQ,1102.65,1085.0,1107.8,1082.0,1095.0,1089.75,1090.25,731603,79763186895000.0,9596,701117,0.9583
2015-09-24,CUMMINSIND,EQ,1089.75,1089.0,1115.9,1083.0,1098.0,1100.75,1109.12,88563,9822701320000.0,4135,60495,0.6831
2015-09-28,CUMMINSIND,EQ,1100.75,1112.0,1119.0,1087.1,1094.0,1094.8,1096.13,109158,11965186460000.0,6740,80500,0.7375
